date,simulated_close,order_flow,action_random,action_momentum,action_contrarian,action_news_cluster
2023-04-19,127.696022305611,0.0,hold,sell,buy,hold
2023-04-19,127.98217871035057,0.0,hold,buy,sell,hold
2023-04-20,128.09494285036098,1.0,buy,buy,sell,hold
2023-04-20,127.28893798480723,1.0,buy,buy,sell,hold
2023-04-21,126.71608038315745,0.0,hold,sell,buy,hold
2023-04-21,126.88915009882318,1.0,buy,sell,buy,hold
2023-04-21,127.25217077878058,1.0,buy,buy,sell,hold
2023-04-24,126.92485020544207,-1.0,sell,buy,sell,hold
2023-04-24,126.32288551554376,0.0,hold,sell,buy,hold
2023-04-25,126.11702629209496,-1.0,sell,sell,buy,hold
2023-04-25,126.66396877300915,0.0,hold,sell,buy,hold
2023-04-27,126.35106379915355,-1.0,sell,buy,sell,hold
2023-04-27,126.4621810033686,-1.0,sell,sell,buy,hold
2023-04-27,126.27286583828631,0.0,hold,buy,sell,hold
2023-05-04,126.23700855059847,1.0,buy,sell,buy,hold
2023-05-04,125.82464506690874,0.0,hold,sell,buy,hold
2023-05-04,125.67975773509791,0.0,hold,sell,buy,hold
2023-05-05,125.31364742075851,0.0,hold,sell,buy,hold
2023-05-05,125.31452443372801,1.0,buy,sell,buy,hold
2023-05-08,125.32048800569325,0.0,hold,buy,sell,hold
2023-05-08,125.05988497409851,0.0,hold,buy,sell,hold
2023-05-08,124.69390659413644,0.0,hold,sell,buy,hold
2023-05-11,124.20055908742889,1.0,buy,sell,buy,hold
2023-05-11,124.46451809434126,-1.0,sell,sell,buy,hold
2023-05-11,124.53006251538237,-1.0,sell,buy,sell,hold
2023-05-15,125.53012540490924,1.0,buy,buy,sell,hold
2023-05-15,125.14930004848158,1.0,buy,buy,sell,hold
2023-05-15,125.40107754039948,1.0,buy,sell,buy,hold
2023-05-15,125.76311383649006,-1.0,sell,buy,sell,hold
2023-05-17,125.67397058183018,-1.0,sell,buy,sell,hold
2023-05-17,126.02889246262762,0.0,hold,sell,buy,hold
2023-05-18,126.74686512546148,1.0,buy,buy,sell,hold
2023-05-18,126.50100239418829,0.0,hold,buy,sell,hold
2023-05-18,126.05863130896134,1.0,buy,sell,buy,hold
2023-05-25,125.38230770501013,1.0,buy,sell,buy,hold
2023-05-25,124.6302298706112,1.0,buy,sell,buy,hold
2023-05-26,124.72274782705054,1.0,buy,sell,buy,hold
2023-05-26,125.14089113161118,-1.0,sell,buy,sell,hold
2023-05-30,125.70836536468194,1.0,buy,buy,sell,hold
2023-05-30,124.9522801473093,0.0,hold,buy,sell,hold
2023-05-31,125.0310420806866,-1.0,sell,sell,buy,hold
2023-05-31,125.07281591456183,-1.0,sell,buy,sell,hold
2023-06-02,125.70868191607344,0.0,hold,buy,sell,hold
2023-06-02,125.70173170901428,1.0,buy,buy,sell,hold
2023-06-08,125.92513464127052,-1.0,sell,sell,buy,hold
2023-06-13,126.64684554533773,1.0,buy,buy,sell,hold
2023-06-13,126.64265196938254,-1.0,sell,buy,sell,hold
2023-06-14,126.39103949453273,0.0,hold,sell,buy,hold
2023-06-15,126.13244548866902,-1.0,sell,sell,buy,hold
2023-06-15,126.40114012330145,0.0,hold,sell,buy,hold
2023-06-22,126.69515326059127,-1.0,sell,buy,sell,hold
2023-06-23,126.53293140414314,-1.0,sell,buy,sell,hold
2023-06-30,127.05384027092438,1.0,buy,sell,buy,hold
2023-07-06,126.68246515107626,0.0,hold,buy,sell,hold
2023-07-06,125.680249759196,-1.0,sell,sell,buy,hold
2023-07-07,125.26667945043758,1.0,buy,sell,buy,hold
2023-07-12,124.83162362854557,0.0,hold,sell,buy,hold
2023-07-12,124.68266037207113,0.0,hold,sell,buy,hold
2023-07-12,124.48018320148242,1.0,buy,sell,buy,hold
2023-07-12,124.61147363830473,1.0,buy,sell,buy,hold
2023-07-13,125.3371515875822,1.0,buy,buy,sell,hold
2023-07-14,125.27909960970668,1.0,buy,buy,sell,hold
2023-07-14,125.3724468013967,-1.0,sell,sell,buy,hold
2023-07-14,125.00179390887746,1.0,buy,buy,sell,hold
2023-07-14,125.65281568635235,1.0,buy,sell,buy,hold
2023-07-17,126.0860363785709,-1.0,sell,buy,sell,hold
2023-07-19,126.54567628014225,1.0,buy,buy,sell,hold
2023-07-19,126.93797184807714,0.0,hold,buy,sell,hold
2023-07-19,126.79970281505392,-1.0,sell,buy,sell,hold
2023-07-20,126.74277147595204,1.0,buy,sell,buy,hold
2023-07-20,126.26591693225394,-1.0,sell,sell,buy,hold
2023-07-20,125.89905283389814,0.0,hold,sell,buy,hold
2023-07-25,125.98607927866118,1.0,buy,sell,buy,hold
2023-07-26,125.7152356457847,-1.0,sell,buy,sell,hold
2023-07-31,126.13829098534043,1.0,buy,sell,buy,hold
2023-08-03,125.84003170539044,0.0,hold,buy,sell,hold
2023-08-03,125.58707964406095,1.0,buy,sell,buy,hold
2023-08-03,125.34028039199667,-1.0,sell,sell,buy,hold
2023-08-03,125.84814345781248,1.0,buy,sell,buy,hold
2023-08-16,124.99437116159976,-1.0,sell,buy,sell,hold
2023-08-22,125.06345676048974,-1.0,sell,sell,buy,hold
2023-08-24,124.75814882690247,-1.0,sell,buy,sell,hold
2023-08-24,124.93108355418406,-1.0,sell,sell,buy,hold
2023-08-25,125.23917136210208,-1.0,sell,buy,sell,hold
2023-08-29,124.7345911255439,0.0,hold,buy,sell,hold
2023-08-30,125.12140465201857,-1.0,sell,sell,buy,hold
2023-08-30,124.53584798629109,-1.0,sell,buy,sell,hold
2023-09-06,124.58000522546575,0.0,hold,sell,buy,hold
2023-09-07,124.47110016789983,1.0,buy,buy,sell,hold
2023-09-12,124.84349188569124,-1.0,sell,sell,buy,hold
2023-09-12,124.86331846778583,-1.0,sell,buy,sell,hold
2023-09-15,125.28521034246234,0.0,hold,buy,sell,hold
2023-09-15,126.1679459181302,1.0,buy,buy,sell,hold
2023-09-18,126.17984813764316,-1.0,sell,buy,sell,hold
2023-09-25,126.71647915550626,1.0,buy,buy,sell,hold
2023-09-25,127.39297252812176,-1.0,sell,buy,sell,hold
2023-09-25,127.56511117233825,-1.0,sell,buy,sell,hold
2023-09-25,128.2872054237129,1.0,buy,buy,sell,hold
2023-09-25,127.41813734293501,0.0,hold,buy,sell,hold
2023-09-26,127.36594163770323,1.0,buy,sell,buy,hold
2023-09-28,127.26910808346354,0.0,hold,sell,buy,hold
2023-10-04,127.59560297662529,1.0,buy,sell,buy,hold
2023-10-05,127.72423311395369,0.0,hold,buy,sell,hold
2023-10-06,127.56392051550384,1.0,buy,buy,sell,hold
2023-10-11,127.99711765112582,1.0,buy,sell,buy,hold
2023-10-11,128.0958193792706,-1.0,sell,buy,sell,hold
2023-10-11,127.82511376129709,1.0,buy,buy,sell,hold
2023-10-12,127.73421406606286,1.0,buy,sell,buy,hold
2023-10-13,127.49984348345374,0.0,hold,sell,buy,hold
2023-10-13,127.60096475223132,0.0,hold,sell,buy,hold
2023-10-18,126.51255902850102,1.0,buy,buy,sell,hold
2023-10-18,126.31090131260613,0.0,hold,sell,buy,hold
2023-10-18,126.34577239854336,0.0,hold,sell,buy,hold
2023-10-19,126.16404366277152,0.0,hold,buy,sell,hold
2023-10-19,126.39064823750276,-1.0,sell,sell,buy,hold
2023-10-19,125.79404933287495,-1.0,sell,buy,sell,hold
2023-10-20,124.6642212807272,0.0,hold,sell,buy,hold
2023-10-20,124.80131230680043,-1.0,sell,sell,buy,hold
2023-10-23,124.49816127471145,-1.0,sell,buy,sell,hold
2023-10-26,125.04296984764983,1.0,buy,sell,buy,hold
2023-10-26,125.45341768319587,-1.0,sell,buy,sell,hold
2023-10-26,124.49539707411843,1.0,buy,buy,sell,hold
2023-11-07,124.4312726981099,0.0,hold,sell,buy,hold
2023-11-09,123.61473916558614,1.0,buy,sell,buy,hold
2023-11-10,124.02667181903257,-1.0,sell,sell,buy,hold
2023-11-17,123.47227339886685,1.0,buy,buy,sell,hold
2023-11-17,123.16256890869533,0.0,hold,sell,buy,hold
2023-11-20,123.09825993562283,-1.0,sell,sell,buy,hold
2023-11-24,123.99897051795858,1.0,buy,sell,buy,hold
2023-11-30,124.65359500314585,1.0,buy,buy,sell,hold
2023-11-30,124.96721076589192,1.0,buy,buy,sell,hold
